market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
us,NYSE,ABBV,AbbVie Inc. Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,buy_now,現在可以買名單,2,common_equity,us-ABBV,1,美股 K-line 現在可以買名單
us,NASDAQ,AEP,American Electric Power Company,Utilities / Electric Utilities: Central,buy_now,現在可以買名單,2,common_equity,us-AEP,1,美股 K-line 現在可以買名單
us,NASDAQ,AMGN,Amgen Inc. - Common Stock,Health Care / Biotechnology: Biological Products (No Diagnostic Substances),buy_now,現在可以買名單,2,common_equity,us-AMGN,1,美股 K-line 現在可以買名單
us,NYSE,CNC,Centene Corporation Common Stock,Health Care / Medical Specialities,buy_now,現在可以買名單,2,common_equity,us-CNC,1,美股 K-line 現在可以買名單
us,NYSE,CWAN,Clearwater Analytics Holdings,Technology / Computer Software: Prepackaged Software,buy_now,現在可以買名單,2,common_equity,us-CWAN,1,美股 K-line 現在可以買名單
us,NASDAQ,EA,Electronic Arts Inc. - Common Stock,Consumer Discretionary / Services-Misc. Amusement & Recreation,buy_now,現在可以買名單,2,common_equity,us-EA,1,美股 K-line 現在可以買名單
us,NYSE,KMI,Kinder Morgan,Utilities / Natural Gas Distribution,buy_now,現在可以買名單,2,common_equity,us-KMI,1,美股 K-line 現在可以買名單
us,NYSE,NOK,Nokia Corporation Sponsored American Depositary Shares,Technology / Radio And Television Broadcasting And Communications Equipment,buy_now,現在可以買名單,2,common_equity,us-NOK,1,美股 K-line 現在可以買名單
us,NYSE,NVO,Novo Nordisk A,Health Care / Biotechnology: Pharmaceutical Preparations,buy_now,現在可以買名單,2,common_equity,us-NVO,1,美股 K-line 現在可以買名單
us,NYSE,PLD,Prologis,Real Estate / Real Estate Investment Trusts,buy_now,現在可以買名單,2,common_equity,us-PLD,1,美股 K-line 現在可以買名單
us,NASDAQ,SMCI,Super Micro Computer,Technology / Computer Manufacturing,buy_now,現在可以買名單,2,common_equity,us-SMCI,1,美股 K-line 現在可以買名單
us,NASDAQ,VIAV,Viavi Solutions Inc. - Common Stock,Technology / Semiconductors,buy_now,現在可以買名單,2,common_equity,us-VIAV,1,美股 K-line 現在可以買名單
us,NASDAQ,WBD,Warner Bros. Discovery,Consumer Discretionary / Services-Misc. Amusement & Recreation,buy_now,現在可以買名單,2,common_equity,us-WBD,1,美股 K-line 現在可以買名單
us,NYSE,WELL,Welltower Inc. Common Stock,Real Estate / Real Estate Investment Trusts,buy_now,現在可以買名單,2,common_equity,us-WELL,1,美股 K-line 現在可以買名單
us,NASDAQ,XEL,Xcel Energy Inc. - Common Stock,Utilities / Power Generation,buy_now,現在可以買名單,2,common_equity,us-XEL,1,美股 K-line 現在可以買名單
us,NASDAQ,ACGL,Arch Capital Group Ltd. - Common Stock,Finance / Property-Casualty Insurers,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-ACGL,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples / Packaged Foods,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-ADM,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AEE,Ameren Corporation Common Stock,Utilities / Power Generation,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-AEE,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AES,The AES Corporation Common Stock,Utilities / Electric Utilities: Central,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-AES,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AFL,AFLAC Incorporated Common Stock,Finance / Accident &Health Insurance,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-AFL,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AIG,American International Group,Finance / Life Insurance,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-AIG,1,美股 K-line 現在不能買，但值得等買點名單
us,NYSE,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate / Real Estate Investment Trusts,wait_entry,現在不能買，但值得等買點名單,5,common_equity,us-AMH,1,美股 K-line 現在不能買，但值得等買點名單
