market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,dcf_applicability,output_subdir,source_count,source_summary
tw,TWSE,1717,長興,化學工業,buy_now,現在可以買名單,1,common_equity,required,tw-1717,1,台股 K-line 現在可以買名單
tw,TWSE,2301,光寶科,電腦及週邊設備業,buy_now,現在可以買名單,1,common_equity,required,tw-2301,1,台股 K-line 現在可以買名單
tw,TWSE,2345,智邦,通信網路業,buy_now,現在可以買名單,1,common_equity,required,tw-2345,1,台股 K-line 現在可以買名單
tw,TWSE,2609,陽明,航運業,buy_now,現在可以買名單,1,common_equity,required,tw-2609,1,台股 K-line 現在可以買名單
tw,TWSE,3028,增你強,電子通路業,buy_now,現在可以買名單,1,common_equity,required,tw-3028,1,台股 K-line 現在可以買名單
tw,TWSE,3135,凌航,半導體業,buy_now,現在可以買名單,1,common_equity,required,tw-3135,1,台股 K-line 現在可以買名單
tw,TWSE,4526,東台,電機機械,buy_now,現在可以買名單,1,common_equity,required,tw-4526,1,台股 K-line 現在可以買名單
tw,TWSE,4906,正文,通信網路業,buy_now,現在可以買名單,1,common_equity,required,tw-4906,1,台股 K-line 現在可以買名單
tw,TWSE,5871,中租-KY,其他業,buy_now,現在可以買名單,1,common_equity,required,tw-5871,1,台股 K-line 現在可以買名單
tw,TWSE,6830,汎銓,其他電子業,buy_now,現在可以買名單,1,common_equity,required,tw-6830,1,台股 K-line 現在可以買名單
tw,TWSE,8033,雷虎,其他業,buy_now,現在可以買名單,1,common_equity,required,tw-8033,1,台股 K-line 現在可以買名單
tw,TWSE,8070,長華*,電子通路業,buy_now,現在可以買名單,1,common_equity,required,tw-8070,1,台股 K-line 現在可以買名單
us,NYSE,ABBV,AbbVie Inc. Common Stock,Health Care / Biotechnology: Pharmaceutical Preparations,buy_now,現在可以買名單,2,common_equity,required,us-ABBV,1,美股 K-line 現在可以買名單
us,NASDAQ,AEP,American Electric Power Company,Utilities / Electric Utilities: Central,buy_now,現在可以買名單,2,common_equity,required,us-AEP,1,美股 K-line 現在可以買名單
us,NASDAQ,AMGN,Amgen Inc. - Common Stock,Health Care / Biotechnology: Biological Products (No Diagnostic Substances),buy_now,現在可以買名單,2,common_equity,required,us-AMGN,1,美股 K-line 現在可以買名單
us,NYSE,CWAN,Clearwater Analytics Holdings,Technology / Computer Software: Prepackaged Software,buy_now,現在可以買名單,2,common_equity,required,us-CWAN,1,美股 K-line 現在可以買名單
us,NASDAQ,EA,Electronic Arts Inc. - Common Stock,Consumer Discretionary / Services-Misc. Amusement & Recreation,buy_now,現在可以買名單,2,common_equity,required,us-EA,1,美股 K-line 現在可以買名單
us,NYSE,KMI,Kinder Morgan,Utilities / Natural Gas Distribution,buy_now,現在可以買名單,2,common_equity,required,us-KMI,1,美股 K-line 現在可以買名單
us,NYSE,NOK,Nokia Corporation Sponsored American Depositary Shares,Technology / Radio And Television Broadcasting And Communications Equipment,buy_now,現在可以買名單,2,common_equity,required,us-NOK,1,美股 K-line 現在可以買名單
us,NYSE,NVO,Novo Nordisk A,Health Care / Biotechnology: Pharmaceutical Preparations,buy_now,現在可以買名單,2,common_equity,required,us-NVO,1,美股 K-line 現在可以買名單
us,NYSE,PLD,Prologis,Real Estate / Real Estate Investment Trusts,buy_now,現在可以買名單,2,common_equity,required,us-PLD,1,美股 K-line 現在可以買名單
us,NASDAQ,SMCI,Super Micro Computer,Technology / Computer Manufacturing,buy_now,現在可以買名單,2,common_equity,required,us-SMCI,1,美股 K-line 現在可以買名單
us,NASDAQ,VIAV,Viavi Solutions Inc. - Common Stock,Technology / Semiconductors,buy_now,現在可以買名單,2,common_equity,required,us-VIAV,1,美股 K-line 現在可以買名單
us,NASDAQ,WBD,Warner Bros. Discovery,Consumer Discretionary / Services-Misc. Amusement & Recreation,buy_now,現在可以買名單,2,common_equity,required,us-WBD,1,美股 K-line 現在可以買名單
us,NYSE,WELL,Welltower Inc. Common Stock,Real Estate / Real Estate Investment Trusts,buy_now,現在可以買名單,2,common_equity,required,us-WELL,1,美股 K-line 現在可以買名單
us,NASDAQ,XEL,Xcel Energy Inc. - Common Stock,Utilities / Power Generation,buy_now,現在可以買名單,2,common_equity,required,us-XEL,1,美股 K-line 現在可以買名單
tw,TWSE,1504,東元,電機機械,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1504,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1536,和大,汽車工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1536,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1710,東聯,化學工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1710,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1711,永光,化學工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1711,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1721,三晃,化學工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1721,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1727,中華化,化學工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1727,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1810,和成,玻璃陶瓷,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-1810,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2049,上銀,電機機械,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2049,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2208,台船,航運業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2208,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2233,宇隆,汽車工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2233,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2308,台達電,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2308,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2317,鴻海,其他電子業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2317,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2329,華泰,半導體業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2329,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2355,敬鵬,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2355,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2359,所羅門,其他電子業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2359,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2360,致茂,其他電子業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2360,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2371,大同,電機機械,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2371,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2399,映泰,電腦及週邊設備業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2399,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2406,國碩,光電業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2406,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2420,新巨,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2420,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2421,建準,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2421,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2474,可成,其他電子業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2474,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2498,宏達電,通信網路業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2498,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2605,新興,航運業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2605,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,2630,亞航,航運業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-2630,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3010,華立,電子通路業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-3010,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3017,奇鋐,電腦及週邊設備業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-3017,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3031,佰鴻,光電業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-3031,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3338,泰碩,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-3338,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3376,新日興,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,required,tw-3376,1,台股 K-line 現在不能買，但值得等買點名單
