market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,TWSE,2374,佳能,光電業,buy_now,現在可以買名單,1,common_equity,tw-2374,1,台股 K-line 現在可以買名單
tw,TWSE,2912,統一超,貿易百貨業,buy_now,現在可以買名單,1,common_equity,tw-2912,1,台股 K-line 現在可以買名單
tw,TWSE,1229,聯華,食品工業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-1229,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,1477,聚陽,紡織纖維,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-1477,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,3661,世芯-KY,半導體業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-3661,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,4956,光鋐,光電業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-4956,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,6658,聯策,其他電子業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-6658,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,8046,南電,電子零組件業,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-8046,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,9904,寶成,運動休閒,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-9904,1,台股 K-line 現在不能買，但值得等買點名單
tw,TWSE,9910,豐泰,運動休閒,wait_entry,現在不能買，但值得等買點名單,4,common_equity,tw-9910,1,台股 K-line 現在不能買，但值得等買點名單
