market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,台股,1215,卜蜂,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-1215,1,庫存持倉
tw,台股,1216,統一,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-1216,1,庫存持倉
tw,台股,1477,聚陽,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-1477,1,庫存持倉
tw,台股,1560,中砂,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-1560,1,庫存持倉
tw,台股,2330,台積電,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-2330,1,庫存持倉
tw,台股,2337,旺宏,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-2337,1,庫存持倉
tw,台股,2408,南亞科,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-2408,1,庫存持倉
tw,台股,2454,聯發科,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-2454,1,庫存持倉
tw,台股,2618,長榮航,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-2618,1,庫存持倉
tw,台股,3019,亞光,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-3019,1,庫存持倉
tw,台股,3231,緯創,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-3231,1,庫存持倉
tw,台股,3443,創意,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-3443,1,庫存持倉
tw,台股,6285,啟碁,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-6285,1,庫存持倉
tw,台股,6669,緯穎,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-6669,1,庫存持倉
tw,台股,8016,矽創,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-8016,1,庫存持倉
tw,台股,8926,台汽電,inventory-scope,inventory_holding,庫存持倉,6,common_equity,tw-8926,1,庫存持倉
us,美股,AAPL,Apple Inc,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-AAPL,1,庫存持倉
us,美股,BRK.B,Berkshire Hathaway I,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-BRK.B,1,庫存持倉
us,美股,CRCL,Circle Internet Group,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-CRCL,1,庫存持倉
us,美股,DASH,DoorDash Inc,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-DASH,1,庫存持倉
us,美股,GLW,康寧公司,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-GLW,1,庫存持倉
us,美股,GOOGL,Alphabet 公司,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-GOOGL,1,庫存持倉
us,美股,MSFT,Microsoft Corp,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-MSFT,1,庫存持倉
us,美股,NFLX,Netflix Inc,inventory-scope,inventory_holding,庫存持倉,6,fund_or_etf,us-NFLX,1,庫存持倉
us,美股,OKLO,Oklo Inc,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-OKLO,1,庫存持倉
us,美股,PLTR,Palantir,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-PLTR,1,庫存持倉
us,美股,RKLB,Rocket Lab Corp,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-RKLB,1,庫存持倉
us,美股,SATS,EchoStar Corporation,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-SATS,1,庫存持倉
us,美股,SOFI,SoFi Technologies Inc,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-SOFI,1,庫存持倉
us,美股,SPCX,太空探索科技公司,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-SPCX,1,庫存持倉
us,美股,TSLA,特斯拉 / Tesla,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-TSLA,1,庫存持倉
us,美股,TSM,Taiwan Semiconductor,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-TSM,1,庫存持倉
us,美股,UBER,Uber Technologies,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-UBER,1,庫存持倉
us,美股,VST,Vistra Energy Corp,inventory-scope,inventory_holding,庫存持倉,6,common_equity,us-VST,1,庫存持倉
