symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
ANET,Arista Networks,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-ANET.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-ANET.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-ANET.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
ARES,Ares Management Corporation Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-ARES.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-ARES.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-ARES.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
BMNR,BitMine Immersion Technologies,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-BMNR.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-BMNR.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-BMNR.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
GOOG,Alphabet Inc. - Class C Capital Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-GOOG.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-GOOG.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-GOOG.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
ICE,Intercontinental Exchange Inc. Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-ICE.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-ICE.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-ICE.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
NTAP,NetApp,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-NTAP.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-NTAP.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-NTAP.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TMUS,T-Mobile US,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TMUS.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TMUS.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TMUS.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
TSLA,Tesla,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-TSLA.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-TSLA.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-TSLA.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
VST,Vistra Corp. Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-VST.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-VST.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-VST.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
ACHR,Archer Aviation Inc. Class A Common Stock,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/input_packets/us-ACHR.packet.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/us-ACHR.result.json,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/result_templates/us-ACHR.result.template.md,reports/public-equity-batch/2026-07-06-us-kline/specialist_workorders/validate_results_report.json
