market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,industry_thesis_gate,hype_risk,industry_thesis_summary,industry_thesis_missing_evidence,source_count,source_summary
tw,台股,00625K,富邦上証+R,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00625K,,,,,1,台股 K-line 現在可以買名單
tw,台股,00657,國泰日經225,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00657,,,,,1,台股 K-line 現在可以買名單
tw,台股,00661,元大日經225,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00661,,,,,1,台股 K-line 現在可以買名單
tw,台股,00684R,期元大美元指反1,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00684R,,,,,1,台股 K-line 現在可以買名單
tw,台股,00876,元大全球5G,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00876,,,,,1,台股 K-line 現在可以買名單
tw,台股,00892,富邦台灣半導體,資料不足,buy_now,現在可以買名單,1,fund_or_etf,tw-00892,,,,,1,台股 K-line 現在可以買名單
tw,台股,1323,永裕,資料不足,buy_now,現在可以買名單,1,common_equity,tw-1323,,,,,1,台股 K-line 現在可以買名單
tw,台股,1449,佳和,資料不足,buy_now,現在可以買名單,1,common_equity,tw-1449,,,,,1,台股 K-line 現在可以買名單
tw,台股,1560,中砂,資料不足,buy_now,現在可以買名單,1,common_equity,tw-1560,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=庫存回補 / 週期復甦；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少明確後續產業 KPI；缺少公司級官方營收、訂單、財報或法說支撐,1,台股 K-line 現在可以買名單
tw,台股,2023,燁輝,資料不足,buy_now,現在可以買名單,1,common_equity,tw-2023,,,,,1,台股 K-line 現在可以買名單
tw,台股,2438,翔耀,資料不足,buy_now,現在可以買名單,1,common_equity,tw-2438,,,,,1,台股 K-line 現在可以買名單
tw,台股,2540,愛山林,資料不足,buy_now,現在可以買名單,1,common_equity,tw-2540,,,,,1,台股 K-line 現在可以買名單
tw,台股,2548,華固,資料不足,buy_now,現在可以買名單,1,common_equity,tw-2548,,,,,1,台股 K-line 現在可以買名單
tw,台股,2614,東森,資料不足,buy_now,現在可以買名單,1,common_equity,tw-2614,,,,,1,台股 K-line 現在可以買名單
tw,台股,3017,奇鋐,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3017,,,,,1,台股 K-line 現在可以買名單
tw,台股,3024,憶聲,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3024,,,,,1,台股 K-line 現在可以買名單
tw,台股,3583,辛耘,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3583,,,,,1,台股 K-line 現在可以買名單
tw,台股,3596,智易,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3596,,,,,1,台股 K-line 現在可以買名單
tw,台股,3686,達能,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3686,,,,,1,台股 K-line 現在可以買名單
tw,台股,3712,永崴投控,資料不足,buy_now,現在可以買名單,1,common_equity,tw-3712,,,,,1,台股 K-line 現在可以買名單
tw,台股,4766,南寶,資料不足,buy_now,現在可以買名單,1,common_equity,tw-4766,,,,,1,台股 K-line 現在可以買名單
tw,台股,5608,四維航,資料不足,buy_now,現在可以買名單,1,common_equity,tw-5608,,,,,1,台股 K-line 現在可以買名單
tw,台股,5876,上海商銀,資料不足,buy_now,現在可以買名單,1,common_equity,tw-5876,,,,,1,台股 K-line 現在可以買名單
tw,台股,5906,台南-KY,資料不足,buy_now,現在可以買名單,1,common_equity,tw-5906,,,,,1,台股 K-line 現在可以買名單
tw,台股,6183,關貿,資料不足,buy_now,現在可以買名單,1,common_equity,tw-6183,,,,,1,台股 K-line 現在可以買名單
tw,台股,6438,迅得,資料不足,buy_now,現在可以買名單,1,common_equity,tw-6438,,,,,1,台股 K-line 現在可以買名單
tw,台股,6757,台灣虎航,資料不足,buy_now,現在可以買名單,1,common_equity,tw-6757,,,,,1,台股 K-line 現在可以買名單
tw,台股,6921,嘉雨思-創,資料不足,buy_now,現在可以買名單,1,common_equity,tw-6921,,,,,1,台股 K-line 現在可以買名單
tw,台股,6934,心誠鎂,資料不足,buy_now,現在可以買名單,1,common_equity,tw-6934,,,,,1,台股 K-line 現在可以買名單
tw,台股,8103,瀚荃,資料不足,buy_now,現在可以買名單,1,common_equity,tw-8103,,,,,1,台股 K-line 現在可以買名單
tw,台股,9918,欣天然,資料不足,buy_now,現在可以買名單,1,common_equity,tw-9918,,,,,1,台股 K-line 現在可以買名單
tw,台股,9933,中鼎,資料不足,buy_now,現在可以買名單,1,common_equity,tw-9933,,,,,1,台股 K-line 現在可以買名單
